Country,Students
Afghanistan,3
Albania,2
Argentina,1
Armenia,1
Australia,2
Austria,1
Bangladesh,2
Bermuda,1
Bhutan,1
Bosnia and Herzegovina,1
Botswana,6
Bulgaria,5
Burkina Faso,1
Burundi,2
Cambodia,1
Canada,20
China,25
Costa Rica,2
Ethiopia,2
Finland,1
France,2
Georgia,1
Germany,2
Ghana,3
Grenada,1
Guam,1
Guinea,1
Honduras,1
Hong Kong,7
Hungary,3
India,3
Israel,1
Jamaica,1
Japan,2
Jordan,3
Kenya,7
Republic of Korea,16
Kuwait,2
Kyrgyzstan,1
Lao People’s Democratic Republic,1
Lesotho,1
Liberia,1
Libyan Arab Jamahiriya,1
Madagascar,2
Malaysia,2
Mauritius,1
Mexico,2
Mozambique,1
Nepal,10
Netherlands,1
Pakistan,8
Peru,2
Qatar,1
Romania,1
Russian Federation,1
Rwanda,1
Saudi Arabia,1
Senegal,1
Singapore,3
South Africa,1
Spain,1
Sri Lanka,1
Swaziland,2
Sweden,1
Switzerland,1
Taiwan,4
Tajikistan,1
United Republic of Tanzania,1
Thailand,5
Turkey,5
Uganda,3
Ukraine,1
United Arab Emirates,3
United Kingdom,7
Uzbekistan,2
Venezuela,1
Viet Nam,9
Zambia,2
Zimbabwe,5
