Country,Students
Afghanistan,2
Albania,1
Argentina,1
Armenia,1
Australia,3
Austria,1
Azerbaijan,1
Bangladesh,3
Bermuda,1
Botswana,7
Brazil,1
Bulgaria,2
Burundi,2
Cambodia,2
Canada,19
China,19
Colombia,1
Costa Rica,1
Dominican Republic,1
France,5
Georgia,2
Germany,1
Ghana,2
Greece,2
Guatemala,1
Guinea,1
Hong Kong,6
Hungary,2
India,5
Israel,1
Jamaica,1
Japan,4
Jordan,5
Kenya,7
"Korea, Republic of",17
Kuwait,1
Kyrgyzstan,1
Lebanon,1
Lesotho,1
Liberia,2
Malawi,1
Malaysia,1
Mauritius,2
Mongolia,2
Mozambique,1
Nepal,7
Netherlands,1
Nicaragua,1
Nigeria,1
Norway,1
Pakistan,2
"Palestinian Territory, Occupie",1
Paraguay,1
Peru,1
Philippines,3
Qatar,2
Russian Federation,1
Rwanda,1
Saudi Arabia,1
Singapore,5
South Africa,1
Spain,1
Sri Lanka,1
Sweden,1
Switzerland,1
Syrian Arab Republic,1
Taiwan,2
"Tanzania, United Republic of",2
Thailand,2
Tunisia,1
Turkey,4
Turkmenistan,1
Uganda,2
Ukraine,1
United Arab Emirates,2
United Kingdom,5
Uzbekistan,1
Viet Nam,4
Yemen,3
Zimbabwe,5
